0.03549,0.03518,0.01870,0.01854,0.10000,1.00000,18.97966,0.10000,1.00000,-4.00000,1.00000,0.00999
0.06358,0.06070,0.08900,0.08498,0.10000,10.00000,7.14325,0.10000,1.00000,-4.00000,1.00000,0.00999
0.09814,0.08250,0.16840,0.14156,1.00000,1.00000,5.82760,0.10000,1.00000,-4.00000,1.00000,0.00996
0.13150,0.08646,0.69826,0.45910,1.00000,10.00000,1.88329,0.10000,1.00000,-4.00000,1.00000,0.00991
0.13353,0.12316,0.01407,0.01298,0.10000,1.00000,18.97966,0.50000,1.00000,-4.00000,1.00000,0.01000
0.14513,0.13323,0.04063,0.03730,0.10000,10.00000,7.14325,0.50000,1.00000,-4.00000,1.00000,0.01000
0.28761,0.14998,0.09871,0.05147,1.00000,1.00000,5.82760,0.50000,1.00000,-4.00000,1.00000,0.01000
0.28483,0.14995,0.30248,0.15925,1.00000,10.00000,1.88329,0.50000,1.00000,-4.00000,1.00000,0.01002
0.16576,0.15077,0.00873,0.00794,0.10000,1.00000,18.97966,1.00000,1.00000,-4.00000,1.00000,0.01000
0.16515,0.15016,0.02312,0.02102,0.10000,10.00000,7.14325,1.00000,1.00000,-4.00000,1.00000,0.01000
0.29985,0.14998,0.05145,0.02574,1.00000,1.00000,5.82760,1.00000,1.00000,-4.00000,1.00000,0.01000
0.29977,0.14995,0.15917,0.07962,1.00000,10.00000,1.88329,1.00000,1.00000,-4.00000,1.00000,0.00999
